Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
6f0bc6c0-2277-3492-bbec-131a8f4f0519,ef58ea08-d883-3957-8300-150554edc8fb,Michel472 Zulauf375,M,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,1619
3a02c0a3-395d-3af0-92d9-de8e8988d259,69176529-fd1f-3b3f-abce-a0a3626769eb,Carlena776 Feil794,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,1973
e2368b12-3212-3e85-89c8-cfbcf42a519a,5e765f2b-e908-3888-9fc7-df2cb87beb58,Chanell45 Robel940,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,2648
52f97ef1-30b5-3271-a0aa-c19eaa6b0105,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Catalina187 Nájera755,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,1583
7bc5658a-3a69-3230-9b42-d8b6d501da88,e002090d-4e92-300e-b41e-7d1f21dee4c6,Domenic627 Blick895,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2908
3517734b-7317-3efe-9397-5a5d1af157d7,ef6ab57c-ed94-3dbe-9861-812d515918b3,Tomás404 Rico947,M,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,1018
4988f0f7-3951-357e-8c61-c5e5415fa6f4,49318f80-bd8b-3fc7-a096-ac43088b0c12,Santo387 Schuppe920,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,795
b0c35367-c54b-3257-b65a-684496e984e5,fbf6180e-b800-3ebe-b91d-93d0288c400e,Otha286 Roberts511,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,348
b970c410-477d-342f-857f-046cbb0fffd4,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Eleni953 Franecki195,F,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,549
28248425-cdce-3ad7-83c8-42100d9b221c,4bdaa4c2-c664-3089-aee2-7137abbad27f,Gertrud593 Kuhic920,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,1186
